model,season,decay_per_day,prior_k,matches,log_loss,brier_score,promoted_matches,promoted_log_loss
dixon_coles_promoted_point,2021-22,0.001500000000,8,380,1.021952054498,0.613401952181,108,1.054255084202
dixon_coles_promoted_point,2021-22,0.001500000000,16,380,1.020852176345,0.612623465000,108,1.050385142555
dixon_coles_promoted_point,2021-22,0.001500000000,32,380,1.020004360516,0.612002509177,108,1.047402086859
dixon_coles_promoted_point,2021-22,0.001500000000,64,380,1.019504881412,0.611615183196,108,1.045644660382
dixon_coles_promoted_point,2021-22,0.003000000000,0,380,1.018105628652,0.610894309601,108,1.060708804672
dixon_coles_promoted_point,2021-22,0.003000000000,4,380,1.014944716324,0.609168195888,108,1.049587076109
dixon_coles_promoted_point,2021-22,0.003000000000,8,380,1.013818816606,0.608368558429,108,1.045625577101
dixon_coles_promoted_point,2021-22,0.003000000000,16,380,1.012730887359,0.607579991378,108,1.041797677898
dixon_coles_promoted_point,2021-22,0.003000000000,32,380,1.011891851473,0.606952093500,108,1.038845514597
dixon_coles_promoted_point,2021-22,0.003000000000,64,380,1.011405258392,0.606566301977,108,1.037133427830
dixon_coles_promoted_point,2022-23,0.001500000000,0,313,0.997137285549,0.591712882678,97,0.998023948194
dixon_coles_promoted_point,2022-23,0.001500000000,4,313,0.993013290206,0.590869877947,97,0.984716623016
dixon_coles_promoted_point,2022-23,0.001500000000,8,313,0.992409982684,0.590725348621,97,0.982769867815
dixon_coles_promoted_point,2022-23,0.001500000000,16,313,0.992293777467,0.590804057003,97,0.982394896341
dixon_coles_promoted_point,2022-23,0.001500000000,32,313,0.992652622604,0.591161514423,97,0.983552819309
dixon_coles_promoted_point,2022-23,0.001500000000,64,313,0.993260291426,0.591662260584,97,0.985513647569
dixon_coles_promoted_point,2022-23,0.003000000000,0,313,0.999863641307,0.593741934734,97,0.995419428024
dixon_coles_promoted_point,2022-23,0.003000000000,4,313,0.995063066489,0.592270335726,97,0.979928913407
dixon_coles_promoted_point,2022-23,0.003000000000,8,313,0.994201929483,0.591935882252,97,0.977150192965
dixon_coles_promoted_point,2022-23,0.003000000000,16,313,0.993730684980,0.591758788296,97,0.975629579258
